iter	Passed	Remaining
242	615	1916
243	617	1913
244	619	1910
245	622	1906
246	624	1903
247	626	1899
248	628	1895
249	630	1891
250	632	1887
251	634	1883
252	636	1879
253	638	1874
254	640	1870
255	642	1866
256	643	1861
257	645	1857
258	647	1853
259	649	1849
260	651	1844
261	653	1840
262	655	1836
263	657	1831
264	659	1827
265	660	1823
266	662	1819
267	664	1814
268	666	1810
269	668	1806
270	670	1802
271	671	1798
272	674	1794
273	676	1791
274	678	1788
275	679	1783
276	681	1779
277	683	1775
278	685	1771
279	687	1767
280	689	1764
281	691	1760
282	693	1756
283	695	1752
284	696	1747
285	698	1743
286	700	1739
287	702	1736
288	704	1732
289	706	1728
290	708	1725
291	709	1720
292	711	1716
293	713	1713
294	715	1709
295	717	1706
296	719	1702
297	721	1699
298	723	1695
299	725	1692
300	727	1688
301	729	1685
302	731	1682
303	733	1678
304	735	1675
305	737	1672
306	739	1668
307	741	1665
308	743	1662
309	745	1659
310	747	1655
311	749	1652
312	751	1648
313	752	1644
314	754	1640
315	756	1636
316	758	1633
317	759	1629
318	761	1626
319	763	1623
320	765	1620
321	767	1616
322	769	1613
323	771	1610
324	773	1606
325	775	1603
326	777	1600
327	779	1596
328	781	1593
329	783	1589
330	784	1586
331	786	1582
332	788	1579
333	790	1576
334	792	1572
335	794	1569
336	796	1566
337	797	1562
338	799	1559
339	801	1556
340	804	1554
341	806	1551
342	808	1548
343	810	1545
344	812	1542
345	814	1540
346	817	1538
347	819	1536
348	822	1533
349	824	1531
350	826	1528
351	828	1525
352	830	1522
353	833	1520
354	835	1517
355	837	1514
356	839	1511
357	841	1508
358	843	1505
359	845	1502
360	847	1499
361	849	1497
362	851	1494
363	853	1491
364	855	1488
365	857	1485
366	859	1482
367	861	1479
368	863	1476
369	865	1473
370	867	1470
371	869	1467
372	871	1464
373	872	1461
374	874	1458
375	876	1455
376	878	1452
377	880	1449
378	882	1445
379	884	1442
380	885	1439
381	887	1436
382	889	1433
383	891	1430
384	893	1427
385	895	1424
386	897	1422
387	899	1419
388	901	1416
389	903	1413
390	905	1410
391	907	1407
392	909	1404
393	911	1401
394	913	1398
395	915	1395
396	917	1392
397	918	1389
398	920	1386
399	922	1384
400	924	1380
401	926	1377
402	928	1375
403	930	1372
404	932	1369
405	933	1366
406	936	1363
407	937	1360
408	939	1357
409	941	1354
410	943	1351
411	945	1349
412	947	1346
413	949	1344
414	951	1341
415	953	1338
416	955	1335
417	957	1333
418	959	1330
419	961	1327
420	963	1324
421	965	1322
422	967	1319
423	969	1316
424	970	1313
425	972	1310
426	974	1307
427	976	1305
428	978	1302
429	980	1299
430	982	1296
431	984	1294
432	985	1291
433	987	1288
434	989	1285
435	991	1282
436	993	1280
437	995	1277
438	997	1274
439	999	1271
440	1001	1268
441	1003	1266
442	1004	1263
443	1007	1261
444	1009	1258
445	1011	1256
446	1013	1253
447	1015	1251
448	1017	1248
449	1020	1246
450	1022	1244
451	1024	1242
452	1027	1240
453	1029	1237
454	1031	1235
455	1033	1232
456	1035	1230
457	1037	1227
458	1039	1225
459	1041	1222
460	1043	1220
461	1045	1217
462	1047	1214
463	1049	1212
464	1051	1209
465	1053	1207
466	1055	1204
467	1057	1201
468	1059	1199
469	1060	1196
470	1062	1193
471	1064	1191
472	1066	1188
473	1068	1185
474	1070	1183
475	1072	1180
476	1074	1177
477	1075	1174
478	1077	1172
479	1079	1169
480	1081	1166
481	1082	1163
482	1084	1161
483	1086	1158
484	1088	1155
485	1090	1153
486	1092	1151
487	1094	1148
488	1096	1145
489	1098	1143
490	1100	1140
491	1102	1138
492	1104	1135
493	1106	1132
494	1107	1130
495	1109	1127
496	1111	1125
497	1113	1122
498	1115	1119
499	1117	1117
500	1118	1114
501	1120	1111
502	1122	1109
503	1124	1106
504	1126	1104
505	1128	1101
506	1130	1099
507	1132	1096
508	1134	1093
509	1135	1091
510	1137	1088
511	1139	1086
512	1141	1083
513	1143	1081
514	1145	1079
515	1147	1076
516	1149	1073
517	1151	1071
518	1153	1068
519	1155	1066
520	1157	1063
521	1159	1061
522	1161	1058
523	1162	1056
524	1164	1053
525	1166	1051
526	1168	1048
527	1170	1046
528	1172	1043
529	1174	1041
530	1176	1039
531	1178	1036
532	1179	1033
533	1181	1031
534	1183	1028
535	1185	1026
536	1187	1023
537	1189	1021
538	1191	1018
539	1193	1016
540	1194	1013
541	1196	1011
542	1198	1008
543	1200	1006
544	1202	1003
545	1204	1001
546	1206	998
547	1207	996
548	1210	994
549	1212	992
550	1214	989
551	1216	987
552	1218	985
553	1221	983
554	1223	980
555	1226	979
556	1228	976
557	1230	974
558	1232	972
559	1234	970
560	1236	967
561	1238	965
562	1240	963
563	1242	960
564	1244	958
565	1246	956
566	1249	953
567	1251	951
568	1252	949
569	1254	946
570	1256	944
571	1258	941
572	1260	939
573	1262	937
574	1264	934
575	1267	932
576	1269	930
577	1270	927
578	1272	925
579	1274	923
580	1276	920
581	1278	918
582	1280	915
583	1282	913
584	1284	911
585	1286	908
586	1287	906
587	1289	903
588	1291	901
589	1293	898
590	1295	896
591	1297	893
592	1298	891
593	1300	889
594	1302	886
595	1304	884
596	1306	881
597	1307	879
598	1309	876
599	1311	874
600	1313	872
601	1315	869
602	1317	867
603	1319	865
604	1321	862
605	1323	860
606	1325	857
607	1326	855
608	1328	853
609	1330	850
610	1332	848
611	1334	845
612	1336	843
613	1338	841
614	1339	838
615	1341	836
616	1343	833
617	1345	831
618	1347	829
619	1349	827
620	1351	824
621	1352	822
622	1354	819
623	1356	817
624	1358	815
625	1360	812
626	1362	810
627	1364	808
628	1365	805
629	1367	803
630	1369	800
631	1371	798
632	1373	796
633	1375	793
634	1377	791
635	1378	789
636	1380	786
637	1382	784
638	1384	782
639	1386	779
640	1388	777
641	1390	775
642	1392	772
643	1394	770
644	1395	768
645	1397	765
646	1399	763
647	1401	761
648	1403	759
649	1405	756
650	1407	754
651	1409	752
652	1411	750
653	1413	747
654	1415	745
655	1417	743
656	1419	741
657	1421	738
658	1423	736
659	1425	734
660	1427	732
661	1429	730
662	1432	727
663	1434	725
664	1436	723
665	1438	721
666	1440	719
667	1442	717
668	1445	715
669	1447	712
670	1449	710
671	1451	708
672	1453	706
673	1456	704
674	1458	702
675	1460	699
676	1462	697
677	1464	695
678	1466	693
679	1468	690
680	1470	688
681	1472	686
682	1474	684
683	1476	681
684	1477	679
685	1479	677
686	1481	675
687	1483	672
688	1485	670
689	1487	668
690	1489	665
691	1491	663
692	1492	661
693	1494	658
694	1496	656
695	1498	654
696	1500	652
697	1501	649
698	1504	647
699	1506	645
700	1507	643
701	1509	640
702	1511	638
703	1513	636
704	1515	633
705	1516	631
706	1518	629
707	1520	627
708	1522	624
709	1524	622
710	1526	620
711	1528	618
712	1530	615
713	1531	613
714	1533	611
715	1535	609
716	1537	606
717	1539	604
718	1541	602
719	1543	600
720	1545	598
721	1547	595
722	1549	593
723	1551	591
724	1553	589
725	1554	586
726	1556	584
727	1558	582
728	1560	580
729	1562	577
730	1564	575
731	1566	573
732	1568	571
733	1570	569
734	1572	566
735	1574	564
736	1576	562
737	1578	560
738	1580	558
739	1582	555
740	1584	553
741	1585	551
742	1587	549
743	1589	547
744	1591	544
745	1593	542
746	1595	540
747	1597	538
748	1600	536
749	1602	534
750	1604	531
751	1606	529
752	1608	527
753	1610	525
754	1613	523
755	1615	521
756	1617	519
757	1620	517
758	1622	515
759	1649	520
760	1652	519
761	1655	517
762	1657	514
763	1665	514
764	1668	512
765	1670	510
766	1673	508
767	1676	506
768	1679	504
769	1681	502
770	1683	500
771	1685	497
772	1688	495
773	1690	493
774	1693	491
775	1695	489
776	1697	487
777	1699	485
778	1701	482
779	1703	480
780	1705	478
781	1707	476
782	1710	473
783	1712	471
784	1713	469
785	1715	467
786	1717	464
787	1719	462
788	1721	460
789	1723	458
790	1725	456
791	1727	453
792	1729	451
793	1731	449
794	1733	446
795	1735	444
796	1736	442
797	1738	440
798	1740	437
799	1742	435
800	1744	433
801	1746	431
802	1748	428
803	1750	426
804	1751	424
805	1753	422
806	1755	419
807	1757	417
808	1759	415
809	1761	413
810	1762	410
811	1764	408
812	1766	406
813	1768	404
814	1770	401
815	1772	399
816	1774	397
817	1775	395
818	1777	392
819	1779	390
820	1781	388
821	1783	386
822	1785	383
823	1787	381
824	1789	379
825	1790	377
826	1792	375
827	1794	372
828	1796	370
829	1798	368
830	1800	366
831	1801	363
832	1803	361
833	1805	359
834	1807	357
835	1809	354
836	1810	352
837	1812	350
838	1814	348
839	1816	345
840	1818	343
841	1820	341
842	1822	339
843	1824	337
844	1826	335
845	1828	332
846	1830	330
847	1833	328
848	1835	326
849	1837	324
850	1839	322
851	1841	319
852	1843	317
853	1846	315
854	1848	313
855	1851	311
856	1853	309
857	1855	307
858	1857	304
859	1859	302
860	1861	300
861	1863	298
862	1865	296
863	1867	293
864	1869	291
865	1871	289
866	1873	287
867	1875	285
868	1877	282
869	1879	280
870	1881	278
871	1883	276
872	1885	274
873	1887	272
874	1889	269
875	1890	267
876	1892	265
877	1894	263
878	1896	261
879	1898	258
880	1900	256
881	1901	254
882	1903	252
883	1905	250
884	1907	247
885	1909	245
886	1911	243
887	1913	241
888	1914	239
889	1917	236
890	1918	234
891	1920	232
892	1922	230
893	1924	228
894	1926	225
895	1928	223
896	1930	221
897	1932	219
898	1934	217
899	1935	215
900	1937	212
901	1939	210
902	1941	208
903	1943	206
904	1945	204
905	1947	202
906	1949	199
907	1951	197
908	1953	195
909	1955	193
910	1956	191
911	1958	188
912	1960	186
913	1962	184
914	1964	182
915	1966	180
916	1968	178
917	1970	176
918	1972	173
919	1974	171
920	1976	169
921	1978	167
922	1979	165
923	1981	162
924	1983	160
925	1985	158
926	1987	156
927	1989	154
928	1991	152
929	1993	150
930	1995	147
931	1997	145
932	1999	143
933	2000	141
934	2002	139
935	2004	137
936	2006	134
937	2008	132
938	2010	130
939	2013	128
940	2015	126
941	2017	124
942	2019	122
943	2022	119
944	2024	117
945	2026	115
946	2028	113
947	2031	111
948	2033	109
949	2035	107
950	2037	105
951	2041	102
952	2043	100
953	2046	98
954	2048	96
955	2050	94
956	2052	92
957	2055	90
958	2057	87
959	2059	85
960	2061	83
961	2063	81
962	2066	79
963	2068	77
964	2070	75
965	2072	72
966	2074	70
967	2077	68
968	2079	66
969	2081	64
970	2083	62
971	2085	60
972	2087	57
973	2089	55
974	2091	53
975	2093	51
976	2095	49
977	2097	47
978	2099	45
979	2101	42
980	2103	40
981	2106	38
982	2108	36
983	2110	34
984	2112	32
985	2114	30
986	2116	27
987	2117	25
988	2119	23
989	2122	21
990	2124	19
991	2126	17
992	2128	15
993	2130	12
994	2132	10
995	2134	8
996	2136	6
997	2139	4
998	2141	2
999	2143	0
